timestep,E_mean,T_mean,C_mean,E_std,T_std,C_std
154,66.7,17223.44,33.3,8.712634503983281,8347.960158409958,8.712634503983281
155,67.36,18079.02,32.64,9.647300140453806,8760.844744635076,9.647300140453806
156,66.43,18974.42,33.57,8.779812070881698,9193.503956794711,8.779812070881698
157,66.96,19916.87,33.04,9.531967268093192,9651.35728760986,9.531967268093194
158,66.58,20900.74,33.42,8.336881911122408,10131.74978334937,8.336881911122408
159,66.48,21936.91,33.52,9.51575535624997,10633.561048016796,9.51575535624997
160,66.28,23026.62,33.72,8.658036728958825,11169.762939095886,8.658036728958825
161,66.15,24174.4,33.85,9.444972207476317,11731.393023848446,9.444972207476315
162,65.86,25378.19,34.14,8.98890427137813,12322.13165624763,8.98890427137813
163,65.84,26640.32,34.16,9.134243263675433,12939.792112611392,9.134243263675433
164,65.0,27962.55,35.0,9.001111042532472,13586.344336410002,9.001111042532472
165,65.38,29355.53,34.62,9.474998680738695,14258.927693522402,9.474998680738695
166,64.73,30814.99,35.27,9.368943376923568,14967.936639694195,9.368943376923568
167,65.06,32351.02,34.94,8.856432690423384,15718.50368386253,8.856432690423384
168,64.54,33961.17,35.46,9.467227682906966,16502.69987550825,9.46722768290697
169,64.75,35653.32,35.25,8.584142356694699,17324.33554447616,8.584142356694699
170,64.23,37427.28,35.77,9.681792189465748,18188.502267135686,9.681792189465748
171,64.36,39294.91,35.64,8.78011389447768,19102.648274045667,8.78011389447768
172,64.07,41246.97,35.93,9.26957927847861,20050.41283886943,9.26957927847861
173,64.02,43302.92,35.98,8.991084472965426,21061.50324391875,8.99108447296543
174,63.99,45460.76,36.01,9.075786467298576,22125.32129534846,9.075786467298576
175,63.59,47720.92,36.41,9.367064641604648,23230.27506065307,9.367064641604648
176,63.6,50101.77,36.4,8.929725639682331,24395.638941767855,8.929725639682331
177,62.85,52591.17,37.15,9.889767439126162,25609.836511799524,9.889767439126162
178,63.52,55206.17,36.48,9.147108832849865,26882.65151135765,9.147108832849865
179,62.3,57956.68,37.7,10.053357648069625,28221.649019460216,10.053357648069625
180,63.36,60850.4,36.64,9.089026350495413,29631.10538235117,9.089026350495413
181,62.09,63880.29,37.91,9.667569498069305,31111.921209174798,9.667569498069305
182,63.05,67072.08,36.95,8.778809714306377,32660.547792919828,8.778809714306377
183,62.2,70418.37,37.8,9.339164844888435,34297.62609034479,9.339164844888435
184,62.28,73932.17,37.72,9.310295376624744,36013.43473095978,9.310295376624744
185,61.57,77614.41,38.43,9.292206411827063,37811.56618499028,9.292206411827063
186,62.25,81486.33,37.75,8.994859643151749,39709.6032677374,8.994859643151749
187,61.38,85555.25,38.62,8.914908861003573,41698.06746346286,8.914908861003573
188,62.0,89821.5,38.0,9.506839643120104,43778.85606054594,9.506839643120104
189,61.12,94308.97,38.88,8.85356425401657,45967.05421722279,8.85356425401657
190,61.73,99011.48,38.27,9.512996373383102,48272.16648017365,9.512996373383102
191,61.02,103953.7,38.98,9.248762079327157,50678.48717542781,9.248762079327157
192,61.25,109149.32,38.75,9.652331324607543,53215.81322198883,9.652331324607543
193,60.47,114590.59,39.53,9.34607404207777,55883.01257163844,9.34607404207777
194,61.61,120306.8,38.39,9.33583954446519,58665.46572967781,9.33583954446519
195,60.02,126297.95,39.98,9.21409789398832,61584.796776051,9.21409789398832
196,60.92,132608.18,39.08,9.159344954744308,64656.838233922346,9.159344954744308
197,60.4,139234.14,39.6,9.60624796681826,67873.78365437129,9.60624796681826
198,60.31,146192.1,39.69,9.005215155675074,71267.64964589474,9.005215155675074
199,60.34,153491.72,39.66,9.921915137714088,74837.6531347797,9.921915137714088
200,60.03,161158.49,39.97,9.022699152692615,78568.81731011292,9.022699152692615
